,,root mean squared error,median absolute error,accuracy classification score,f1 score,precision,recall
CAN,eight_month,1.720047384180173,1.3102280809738516,0.23684210526315788,0.2926829268292683,0.24,0.375
CAN,nine_month,1.698449946187906,1.2451335620498087,0.2894736842105263,0.3076923076923077,0.25,0.4
CAN,ten_month,1.6182468339592135,1.0871494075654744,0.3684210526315789,0.3684210526315789,0.3181818181818182,0.4375
CAN,eleven_month,1.528350790343254,1.2048856417314813,0.5263157894736842,0.5,0.5,0.5
CAN,twelve_month,1.5068079242224557,0.9742834472020688,0.47368421052631576,0.4117647058823529,0.4117647058823529,0.4117647058823529
JAP,one_month,1.4380743326388015,0.7812322754743326,0.42105263157894735,0.35294117647058826,0.46153846153846156,0.2857142857142857
JAP,two_month,1.5085208322927794,0.8071886328628068,0.42105263157894735,0.3125,0.38461538461538464,0.2631578947368421
JAP,three_month,1.525288716994546,0.878341506951501,0.47368421052631576,0.4117647058823529,0.4666666666666667,0.3684210526315789
JAP,four_month,1.542041614390617,0.9888508431399189,0.4473684210526316,0.39999999999999997,0.4375,0.3684210526315789
JAP,five_month,1.5082604847417997,1.007418113318837,0.4473684210526316,0.46153846153846156,0.5294117647058824,0.4090909090909091
JAP,six_month,1.5078907911039805,0.7148279687891448,0.5,0.4864864864864864,0.5625,0.42857142857142855
JAP,seven_month,1.4662625484392375,0.640690386505379,0.5263157894736842,0.5,0.5625,0.45
JAP,eight_month,1.4583314548289572,0.7712213865223185,0.5263157894736842,0.47058823529411764,0.5333333333333333,0.42105263157894735
JAP,nine_month,1.4768933115928118,0.645379134474231,0.5,0.4571428571428572,0.5333333333333333,0.4
JAP,ten_month,1.4788473385184202,0.6624184150518024,0.4473684210526316,0.3636363636363636,0.4,0.3333333333333333
JAP,eleven_month,1.4701313463771482,0.7693451783024601,0.42105263157894735,0.4210526315789474,0.5,0.36363636363636365
JAP,twelve_month,1.468278750936091,0.6501568229723945,0.4473684210526316,0.46153846153846156,0.5625,0.391304347826087
NOR,one_month,1.27514782561265,0.71444065560909,0.5263157894736842,0.55,0.4782608695652174,0.6470588235294118
NOR,two_month,1.2755002071200086,0.7617601629889501,0.631578947368421,0.6666666666666666,0.5833333333333334,0.7777777777777778
NOR,three_month,1.222564894750119,0.8665571692943811,0.5789473684210527,0.6190476190476191,0.52,0.7647058823529411
NOR,four_month,1.129841823559891,0.7861256138203596,0.6578947368421053,0.6666666666666667,0.5652173913043478,0.8125
NOR,five_month,1.0381059894354667,0.8111257444538423,0.6842105263157895,0.7,0.6086956521739131,0.8235294117647058
NOR,six_month,1.092023775226293,0.5983155744188788,0.7105263157894737,0.7441860465116279,0.6956521739130435,0.8
NOR,seven_month,1.1009372707479208,0.5616853783265288,0.6842105263157895,0.7142857142857143,0.6521739130434783,0.7894736842105263
NOR,eight_month,1.027651697887449,0.6368492990354317,0.7105263157894737,0.717948717948718,0.6086956521739131,0.875
NOR,nine_month,0.9709165419429714,0.5337138034662838,0.6842105263157895,0.6842105263157895,0.5652173913043478,0.8666666666666667
NOR,ten_month,0.899819665745497,0.6027511979177101,0.6842105263157895,0.7,0.6086956521739131,0.8235294117647058
NOR,eleven_month,0.7942690043925116,0.4794079577383641,0.7368421052631579,0.761904761904762,0.6956521739130435,0.8421052631578947
NOR,twelve_month,0.8668339374436905,0.6575161629504488,0.7105263157894737,0.7317073170731708,0.6521739130434783,0.8333333333333334
SWE,one_month,1.457055225910744,1.122109863569309,0.4473684210526316,0.46153846153846156,0.47368421052631576,0.45
SWE,two_month,1.5566349559121992,0.9524279545064603,0.5,0.45714285714285713,0.42105263157894735,0.5
SWE,three_month,1.564658863617082,0.9965009952297486,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
SWE,four_month,1.5274756880038223,0.9332406090962315,0.4473684210526316,0.43243243243243246,0.42105263157894735,0.4444444444444444
SWE,five_month,1.4288014888507825,1.0813948423363722,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
SWE,six_month,1.3666384376742071,1.3380530191592221,0.47368421052631576,0.4117647058823529,0.3684210526315789,0.4666666666666667
SWE,seven_month,1.3165662420407458,1.1411902748395473,0.5526315789473685,0.5142857142857142,0.47368421052631576,0.5625
SWE,eight_month,1.359645745729617,1.0118056893844103,0.47368421052631576,0.4117647058823529,0.3684210526315789,0.4666666666666667
SWE,nine_month,1.294366463405649,1.0993538242992518,0.5,0.3870967741935484,0.3157894736842105,0.5
SWE,ten_month,1.226775053465949,0.914145412599736,0.6052631578947368,0.5161290322580646,0.42105263157894735,0.6666666666666666
SWE,eleven_month,1.1412453560598323,0.8863497433875723,0.6578947368421053,0.6060606060606061,0.5263157894736842,0.7142857142857143
SWE,twelve_month,1.0889255038103052,0.958671044208828,0.5789473684210527,0.5,0.42105263157894735,0.6153846153846154
SWI,one_month,1.2782776768208917,1.0450372695152328,0.47368421052631576,0.5652173913043479,0.5,0.65
SWI,two_month,1.2961609865264307,0.9564076545641781,0.5,0.558139534883721,0.46153846153846156,0.7058823529411765
SWI,three_month,1.327144408462548,0.9347259159279241,0.42105263157894735,0.5217391304347826,0.46153846153846156,0.6
SWI,four_month,1.420728559506046,1.038617375892999,0.3684210526315789,0.4545454545454546,0.38461538461538464,0.5555555555555556
SWI,five_month,1.4066524708841897,0.9755367162754391,0.4473684210526316,0.5116279069767442,0.4230769230769231,0.6470588235294118
SWI,six_month,1.4641275265066531,0.9717897345747452,0.47368421052631576,0.5238095238095238,0.4230769230769231,0.6875
SWI,seven_month,1.49195242363214,0.9944141032232278,0.5,0.5777777777777778,0.5,0.6842105263157895
SWI,eight_month,1.4187251822099542,0.837794938654902,0.47368421052631576,0.5652173913043479,0.5,0.65
SWI,nine_month,1.3454078170706052,0.8705606463901918,0.5526315789473685,0.6222222222222222,0.5384615384615384,0.7368421052631579
SWI,ten_month,1.3789559586545213,0.8323580019908596,0.4473684210526316,0.5116279069767442,0.4230769230769231,0.6470588235294118
SWI,eleven_month,1.3908960163253954,0.725741327955049,0.5263157894736842,0.608695652173913,0.5384615384615384,0.7
SWI,twelve_month,1.38564949196922,0.5584204676248299,0.4473684210526316,0.5116279069767442,0.4230769230769231,0.6470588235294118
UK,one_month,1.2145045023732204,0.9460147196238828,0.5789473684210527,0.6363636363636365,0.5833333333333334,0.7
UK,two_month,1.2282702069237275,0.8726285062950991,0.39473684210526316,0.4888888888888889,0.4583333333333333,0.5238095238095238
UK,three_month,1.3176505091665236,0.8411208376733109,0.47368421052631576,0.5454545454545454,0.5,0.6
UK,four_month,1.3392960074193037,0.8414600865924398,0.5,0.5777777777777778,0.5416666666666666,0.6190476190476191
UK,five_month,1.246551977590231,0.7503272426705786,0.5789473684210527,0.6190476190476191,0.5652173913043478,0.6842105263157895
UK,six_month,1.1125846781669482,0.8580789400253874,0.6052631578947368,0.6511627906976744,0.6086956521739131,0.7
UK,seven_month,1.103715553906927,0.7823148135279261,0.6578947368421053,0.6976744186046512,0.6521739130434783,0.75
UK,eight_month,1.0799654953468063,0.9109779779692689,0.6578947368421053,0.6976744186046512,0.6521739130434783,0.75
UK,nine_month,1.0142997940402412,0.886018291692915,0.631578947368421,0.6666666666666666,0.6086956521739131,0.7368421052631579
UK,ten_month,0.9304099064795609,0.7358138880256144,0.6842105263157895,0.7142857142857143,0.6521739130434783,0.7894736842105263
UK,eleven_month,0.9516437967915528,0.6537773237499118,0.6842105263157895,0.7142857142857143,0.6521739130434783,0.7894736842105263
UK,twelve_month,0.9797842720572735,0.6313891197517778,0.7368421052631579,0.761904761904762,0.6956521739130435,0.8421052631578947
