,,root mean squared error,median absolute error,accuracy classification score,f1 score,precision,recall
SWE,four_month,1.4271845660099864,1.0751396282286798,0.4473684210526316,0.43243243243243246,0.42105263157894735,0.4444444444444444
SWE,five_month,1.4799119358096764,1.0443751768953449,0.5,0.4864864864864865,0.5,0.47368421052631576
SWE,six_month,1.5864718892374083,0.9118322871274561,0.39473684210526316,0.303030303030303,0.2777777777777778,0.3333333333333333
SWE,seven_month,1.6669189067368824,1.0052278286264207,0.3157894736842105,0.23529411764705882,0.2222222222222222,0.25
SWE,eight_month,1.7442230281116287,1.411982827202751,0.34210526315789475,0.2424242424242424,0.2222222222222222,0.26666666666666666
SWE,nine_month,1.734507591048003,1.0686320018965474,0.42105263157894735,0.26666666666666666,0.2222222222222222,0.3333333333333333
SWE,ten_month,1.719561409196832,1.1955221414612838,0.3157894736842105,0.13333333333333333,0.1111111111111111,0.16666666666666666
SWE,eleven_month,1.7268657120355382,1.3938122011120866,0.3684210526315789,0.25,0.2222222222222222,0.2857142857142857
SWE,twelve_month,1.694517228124053,1.408914109269286,0.34210526315789475,0.13793103448275862,0.125,0.15384615384615385
SWI,one_month,1.4402549072271287,1.2148669210296394,0.4473684210526316,0.4878048780487805,0.47619047619047616,0.5
SWI,two_month,1.657253843492726,1.2967917703913043,0.39473684210526316,0.34285714285714286,0.3333333333333333,0.35294117647058826
SWI,three_month,1.773971306097116,1.364046870250982,0.23684210526315788,0.25641025641025644,0.2631578947368421,0.25
SWI,four_month,1.702702866551779,1.3596938523576791,0.34210526315789475,0.28571428571428575,0.29411764705882354,0.2777777777777778
SWI,five_month,1.7331572405713314,1.4883519610482745,0.3157894736842105,0.23529411764705882,0.23529411764705882,0.23529411764705882
SWI,six_month,1.7180913200324384,1.110058080941322,0.34210526315789475,0.24242424242424243,0.23529411764705882,0.25
SWI,seven_month,1.6893359099400607,1.17305843061981,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105
SWI,eight_month,1.7457731695656111,1.1378865397354527,0.3157894736842105,0.380952380952381,0.36363636363636365,0.4
SWI,nine_month,1.6811237632901148,1.0106577731987998,0.4473684210526316,0.46153846153846156,0.45,0.47368421052631576
SWI,ten_month,1.6015438882384632,1.0495944026983224,0.5,0.45714285714285713,0.4444444444444444,0.47058823529411764
SWI,eleven_month,1.6594998109424977,1.1153396764023433,0.42105263157894735,0.45,0.45,0.45
SWI,twelve_month,1.752299007579332,1.0814691384980355,0.3157894736842105,0.23529411764705882,0.23529411764705882,0.23529411764705882
UK,one_month,1.4825418988512968,0.9585503136203651,0.5,0.5128205128205129,0.5263157894736842,0.5
UK,two_month,1.4386898839229947,0.9216655906593278,0.631578947368421,0.6818181818181819,0.6521739130434783,0.7142857142857143
UK,three_month,1.4002935629549722,0.9430422021496541,0.6052631578947368,0.6153846153846154,0.631578947368421,0.6
UK,four_month,1.2847813558146859,0.8424245052483365,0.5789473684210527,0.6,0.631578947368421,0.5714285714285714
UK,five_month,1.3387321200864142,0.7718431858314407,0.5263157894736842,0.5,0.5294117647058824,0.47368421052631576
UK,six_month,1.3735264633642077,0.9613332416870695,0.47368421052631576,0.4444444444444445,0.5,0.4
UK,seven_month,1.4292926621254827,0.9391306639389847,0.5,0.48648648648648646,0.5294117647058824,0.45
UK,eight_month,1.440204332039086,1.0966435134025714,0.5526315789473685,0.5405405405405405,0.5882352941176471,0.5
UK,nine_month,1.5234456757748445,1.3171839068432742,0.5526315789473685,0.5405405405405405,0.5555555555555556,0.5263157894736842
UK,ten_month,1.6161242469392774,1.3088752926045566,0.5,0.4864864864864865,0.5,0.47368421052631576
UK,eleven_month,1.7084125932755208,1.3906011354885546,0.34210526315789475,0.3243243243243243,0.3333333333333333,0.3157894736842105
UK,twelve_month,1.747564377804257,1.4318565600235844,0.23684210526315788,0.21621621621621623,0.2222222222222222,0.21052631578947367
